order_id,product_category
ORD_0000173,"Perlengkapan Packing"
ORD_0000174,Celengan
ORD_0000175,Other
ORD_0000176,Celengan
ORD_0000177,"Perlengkapan Packing"
ORD_0000178,Celengan
ORD_0000179,Celengan
ORD_0000180,Celengan
ORD_0000181,Celengan
ORD_0000182,Celengan
ORD_0000183,"Mangkok Sambal / Saus"
ORD_0000184,"Botol / Gelas / Mug"
ORD_0000184,Celengan
ORD_0000184,"Nampan / Tray"
ORD_0000185,Celengan
ORD_0000186,Celengan
ORD_0000187,Celengan
ORD_0000188,Celengan
ORD_0000189,Celengan
ORD_0000190,Celengan
ORD_0000191,Celengan
ORD_0000192,Celengan
ORD_0000193,Celengan
ORD_0000194,Celengan
ORD_0000195,Mangkok
ORD_0000196,"Lunch Box / Rantang"
ORD_0000197,"Mangkok Sambal / Saus"
ORD_0000198,Celengan
ORD_0000199,Celengan
ORD_0000200,Celengan
ORD_0000200,"Perlengkapan Packing"
ORD_0000201,Celengan
ORD_0000202,"Seal / Baut / Roof"
ORD_0000203,Celengan
ORD_0000204,Celengan
ORD_0000205,"Mangkok Sambal / Saus"
ORD_0000206,Celengan
ORD_0000207,"Rak / Rak Serbaguna"
ORD_0000208,Celengan
ORD_0000209,Celengan
ORD_0000210,Celengan
ORD_0000211,Celengan
ORD_0000212,Celengan
ORD_0000213,"Mangkok Sambal / Saus"
ORD_0000214,"Plastik / Wadah Plastik"
ORD_0000215,"Lunch Box / Rantang"
ORD_0000216,Celengan
ORD_0000217,Celengan
ORD_0000218,Celengan
ORD_0000219,"Nampan / Tray"
ORD_0000220,Other
ORD_0000221,Celengan
ORD_0000222,"Perlengkapan Packing"
ORD_0000223,"Peralatan Makan"
ORD_0000224,Celengan
ORD_0000225,"Mangkok Sambal / Saus"
ORD_0000226,Celengan
ORD_0000227,"Mangkok Sambal / Saus"
ORD_0000229,Celengan
ORD_0000230,"Lunch Box / Rantang"
ORD_0000231,"Mangkok Sambal / Saus"
ORD_0000233,Celengan
ORD_0000234,Celengan
ORD_0000235,"Lunch Box / Rantang"
ORD_0000236,Piring
ORD_0000238,Celengan
ORD_0000239,"Lunch Box / Rantang"
ORD_0000240,Celengan
ORD_0000241,Piring
ORD_0000242,Celengan
ORD_0000243,"Mangkok Sambal / Saus"
ORD_0000244,Celengan
ORD_0000245,"Lunch Box / Rantang"
ORD_0000246,"Lunch Box / Rantang"
ORD_0000247,Celengan
ORD_0000248,Other
ORD_0000249,Celengan
ORD_0000250,Celengan
ORD_0000251,Celengan
ORD_0000252,"Toples / Sealware"
ORD_0000253,Celengan
ORD_0000254,Celengan
ORD_0000255,Celengan
ORD_0000256,Celengan
ORD_0000256,Keranjang
ORD_0000257,Celengan
ORD_0000258,Celengan
ORD_0000259,Celengan
ORD_0000260,"Mangkok Sambal / Saus"
ORD_0000261,Celengan
ORD_0000262,"Nampan / Tray"
ORD_0000263,"Mangkok Sambal / Saus"
ORD_0000264,Celengan
ORD_0000265,Celengan
ORD_0000266,Celengan
ORD_0000267,Celengan
ORD_0000268,Celengan
ORD_0000269,"Mangkok Sambal / Saus"
ORD_0000270,"Botol / Gelas / Mug"
ORD_0000270,"Mangkok Sambal / Saus"
ORD_0000271,"Perlengkapan Packing"
ORD_0000271,"Rak / Rak Serbaguna"
ORD_0000272,"Perlengkapan Packing"
ORD_0000272,"Rak / Rak Serbaguna"
ORD_0000273,"Perlengkapan Packing"
ORD_0000273,"Rak / Rak Serbaguna"
ORD_0000274,"Nampan / Tray"
ORD_0000276,Celengan
ORD_0000277,Celengan
ORD_0000278,"Peralatan Kamar Mandi"
ORD_0000279,"Peralatan Kamar Mandi"
ORD_0000280,Celengan
ORD_0000281,Celengan
ORD_0000282,"Mangkok Sambal / Saus"
ORD_0000283,Celengan
ORD_0000284,Other
ORD_0000285,Celengan
ORD_0000286,"Mangkok Sambal / Saus"
ORD_0000287,Celengan
ORD_0000288,Celengan
ORD_0000289,"Tempat Nasi"
ORD_0000290,Celengan
ORD_0000291,"Gantungan Baju / Hanger"
ORD_0000292,"Nampan / Tray"
ORD_0000293,Celengan
ORD_0000294,Celengan
ORD_0000295,Other
ORD_0000295,"Perlengkapan Packing"
ORD_0000295,"Pisau / Alat Potong"
ORD_0000296,Keranjang
ORD_0000297,Celengan
ORD_0000298,Celengan
ORD_0000299,Celengan
ORD_0000300,"Stempel / Alat Kantor"
ORD_0000301,"Mangkok Sambal / Saus"
ORD_0000302,"Nampan / Tray"
ORD_0000303,Celengan
ORD_0000304,Celengan
ORD_0000305,Celengan
ORD_0000306,"Mangkok Sambal / Saus"
ORD_0000307,Celengan
ORD_0000308,Celengan
ORD_0000309,Celengan
ORD_0000310,Celengan
ORD_0000311,Celengan
ORD_0000312,"Rak / Rak Serbaguna"
ORD_0000313,"Rak / Rak Serbaguna"
ORD_0000314,"Mangkok Sambal / Saus"
ORD_0000315,Celengan
ORD_0000316,"Mangkok Sambal / Saus"
ORD_0000317,Celengan
ORD_0000318,"Mangkok Sambal / Saus"
ORD_0000319,Celengan
ORD_0000320,Celengan
ORD_0000321,Celengan
ORD_0000322,Celengan
ORD_0000323,Celengan
ORD_0000324,"Mangkok Sambal / Saus"
ORD_0000325,Celengan
ORD_0000326,Celengan
ORD_0000327,Celengan
ORD_0000327,Other
ORD_0000328,Celengan
ORD_0000329,"Mangkok Sambal / Saus"
ORD_0000330,"Mangkok Sambal / Saus"
ORD_0000331,Celengan
ORD_0000331,"Perlengkapan Packing"
ORD_0000332,Keranjang
ORD_0000333,"Teko / Jug"
ORD_0000334,Celengan
ORD_0000335,Celengan
ORD_0000336,Celengan
ORD_0000337,Keranjang
ORD_0000338,Celengan
ORD_0000339,"Tempat Nasi"
ORD_0000340,"Baskom / Mangkok Besar"
ORD_0000340,"Mangkok Sambal / Saus"
ORD_0000340,Other
ORD_0000340,"Perlengkapan Packing"
ORD_0000340,"Sapu / Pembersih Lantai"
ORD_0000340,"Tempat Nasi"
ORD_0000340,"Toples / Sealware"
ORD_0000341,Celengan
ORD_0000342,"Peralatan Makan"
ORD_0000343,Other
ORD_0000343,"Rak / Rak Serbaguna"
ORD_0000344,Celengan
ORD_0000345,Celengan
ORD_0000346,Celengan
ORD_0000347,"Mangkok Sambal / Saus"
ORD_0000348,Celengan
ORD_0000349,Other
ORD_0000350,Celengan
ORD_0000351,Celengan
ORD_0000352,Celengan
ORD_0000353,"Peralatan Kamar Mandi"
ORD_0000354,Celengan
ORD_0000355,Celengan
ORD_0000356,Celengan
ORD_0000357,Celengan
ORD_0000358,"Rak / Rak Serbaguna"
ORD_0000359,"Mangkok Sambal / Saus"
ORD_0000360,Celengan
ORD_0000361,Celengan
ORD_0000362,Celengan
ORD_0000363,"Cobek / Ulekan"
ORD_0000364,Celengan
ORD_0000365,Celengan
ORD_0000366,"Nampan / Tray"
ORD_0000367,Celengan
ORD_0000369,Celengan
ORD_0000370,Celengan
ORD_0000371,"Mangkok Sambal / Saus"
ORD_0000372,Celengan
ORD_0000373,Celengan
ORD_0000374,"Mangkok Sambal / Saus"
ORD_0000375,Celengan
ORD_0000376,"Mangkok Sambal / Saus"
ORD_0000377,Celengan
ORD_0000378,Celengan
ORD_0000379,"Aksesoris ID Card"
ORD_0000380,Celengan
ORD_0000381,"Mangkok Sambal / Saus"
ORD_0000381,"Pisau / Alat Potong"
ORD_0000382,Celengan
ORD_0000383,Other
ORD_0000384,"Rak / Rak Serbaguna"
ORD_0000385,"Rak / Rak Serbaguna"
ORD_0000386,Celengan
ORD_0000387,Celengan
ORD_0000388,"Tempat Nasi"
ORD_0000389,Celengan
ORD_0000390,Celengan
ORD_0000391,Celengan
ORD_0000392,Celengan
ORD_0000393,Celengan
ORD_0000394,Celengan
ORD_0000395,Celengan
